Table S1.1 Energy levels for the 16O16O X^3\Sigma state v = 0 - 39
     (relative to 16O16O X^3\Sigma state v = 0, N = 1, J = 0)     
==================================================================
    v    N    J    K  Energy(cm-1)    Unc.(cm-1)    Degeneracy
    4    5    6    0   6125.457038      0.001468            13
    4    7    6    0   6161.216378      0.001445            13
    4    7    7    0   6163.201878      0.001445            15
    4    7    8    0   6161.163203      0.001445            17
    4    9    8    0   6207.961456      0.001421            17
    4    9    9    0   6209.919999      0.001421            19
    4    9   10    0   6207.858115      0.001421            21
    4   11   10    0   6265.679795      0.001399            21
    4   11   11    0   6267.615184      0.001399            23
    4   11   12    0   6265.532055      0.001399            25
    4   13   12    0   6334.363477      0.001383            25
    4   13   13    0   6336.277686      0.001384            27
    4   13   14    0   6334.174460      0.001383            29
    4   15   14    0   6414.001714      0.001378            29
    4   15   15    0   6415.895903      0.001379            31
    4   15   16    0   6413.773305      0.001378            33
    4   17   16    0   6504.581470      0.001387            33
    4   17   17    0   6506.456376      0.001388            35
    4   17   18    0   6504.314893      0.001387            37
    4   19   18    0   6606.087669      0.001414            37
    4   19   19    0   6607.943791      0.001415            39
    4   19   20    0   6605.783764      0.001414            41
    4   21   20    0   6718.503287      0.001460            41
    4   21   21    0   6720.340978      0.001461            43
    4   21   22    0   6718.162656      0.001460            45
    4   23   22    0   6841.809397      0.001525            45
    4   23   23    0   6843.628916      0.001527            47
    4   23   24    0   6841.432482      0.001526            49
    4   25   24    0   6975.985186      0.001612            49
    4   25   25    0   6977.786728      0.001614            51
    4   25   26    0   6975.572322      0.001612            53
    4   27   26    0   7121.007968      0.001720            53
    4   27   27    0   7122.791685      0.001721            55
    4   27   28    0   7120.559413      0.001720            57
    4   29   28    0   7276.853193      0.001851            57
    4   29   29    0   7278.619205      0.001852            59
    4   29   30    0   7276.369151      0.001851            61
    4   31   30    0   7443.494453      0.002008            61
    4   31   31    0   7445.242855      0.002010            63
    4   31   32    0   7442.975085      0.002008            65
    4   33   32    0   7620.903481      0.002198            65
    4   33   33    0   7622.634352      0.002200            67
    4   33   34    0   7620.348917      0.002199            69
    4   35   34    0   7809.050157      0.002429            69
    4   35   35    0   7810.763560      0.002430            71
    4   35   36    0   7808.460501      0.002429            73
    4   37   36    0   8007.902511      0.002709            73
    4   37   37    0   8009.598499      0.002710            75
    4   37   38    0   8007.277847      0.002709            77
    4   39   38    0   8217.426719      0.003050            77
    4   39   39    0   8219.105336      0.003051            79
    4   39   40    0   8216.767116      0.003050            81
    4   41   40    0   8437.587111      0.003463            81
    4   41   41    0   8439.248396      0.003464            83
    4   41   42    0   8436.892625      0.003463            85
    4   43   42    0   8668.346171      0.003960            85
    4   43   43    0   8669.990154      0.003960            87
    4   43   44    0   8667.616847      0.003960            89
    4   45   44    0   8909.664533      0.004551            89
    4   45   45    0   8911.291242      0.004550            91
    4   45   46    0   8908.900407      0.004551            93
    4   47   46    0   9161.500992      0.005247            93
    4   47   47    0   9163.110448      0.005246            95
    4   47   48    0   9160.702092      0.005247            97
    4   49   48    0   9423.812496      0.006059            97
    4   49   49    0   9425.404720      0.006058            99
    4   49   50    0   9422.978844      0.006059           101
    4   51   50    0   9696.554153      0.006998           101
    4   51   51    0   9698.129162      0.006997           103
    4   51   52    0   9695.685766      0.006998           105
    4   53   52    0   9979.679233      0.008076           105
    4   53   53    0   9981.237040      0.008075           107
    4   53   54    0   9978.776121      0.008076           109
    4   55   54    0  10273.139163      0.009305           109
    4   55   55    0  10274.679782      0.009304           111
    4   55   56    0  10272.201335      0.009305           113
    4   57   56    0  10576.883539      0.010700           113
    4   57   57    0  10578.406978      0.010699           115
    4   57   58    0  10575.910995      0.010700           117
    4   59   58    0  10890.860116      0.012278           117
    4   59   59    0  10892.366385      0.012277           119
    4   59   60    0  10889.852858      0.012278           121
    4   61   60    0  11215.014819      0.014057           121
    4   61   61    0  11216.503924      0.014056           123
    4   61   62    0  11213.972842      0.014057           125
    4   63   62    0  11549.291739      0.016060           125
    4   63   63    0  11550.763687      0.016059           127
    4   63   64    0  11548.215037      0.016061           129
    4   65   64    0  11893.633139      0.018315           129
    4   65   65    0  11895.087934      0.018314           131
    5    1    0    0   7548.258272      0.002697             1
    5    1    1    0   7552.259963      0.002656             3
    5    1    2    0   7550.344762      0.002657             5
    5    3    2    0   7563.764241      0.002642             5
    5    3    3    0   7565.850726      0.002644             7
    5    3    4    0   7563.870594      0.002645             9
    5    5    4    0   7588.290119      0.002623             9
    5    5    5    0   7590.311663      0.002625            11
    5    5    6    0   7588.296232      0.002625            13
    5    7    6    0   7623.652367      0.002599            13
    5    7    7    0   7625.638598      0.002601            15
    5    7    8    0   7623.596476      0.002600            17
    5    9    8    0   7669.865978      0.002575            17
    5    9    9    0   7671.825497      0.002576            19
    5    9   10    0   7669.760361      0.002576            21
    5   11   10    0   7726.927994      0.002555            21
    5   11   11    0   7728.864473      0.002557            23
    5   11   12    0   7726.778231      0.002556            25
    5   13   12    0   7794.830438      0.002545            25
    5   13   13    0   7796.745781      0.002547            27
    5   13   14    0   7794.639551      0.002546            29
    5   15   14    0   7873.562504      0.002550            29
    5   15   15    0   7875.457823      0.002553            31
    5   15   16    0   7873.332315      0.002551            33
    5   17   16    0   7963.111144      0.002575            33
    5   17   17    0   7964.987143      0.002578            35
    5   17   18    0   7962.842839      0.002576            37
    5   19   18    0   8063.461281      0.002624            37
    5   19   19    0   8065.318436      0.002627            39
    5   19   20    0   8063.155672      0.002624            41
